year,credit_score_group,C2A,C4A,EF1,EF3_A,EF3_B,EF3_C,EF3_D,vol,vol_unadj,log_vol
2020,Deep subprime,1.0,3.0,0.0,0.0,1.0,0.25,1.0,3698795505.958187,3697304363.636364,22.03127306466707
2020,Near-prime,0.8597857838364168,1.9298928919182083,0.10954235637779941,0.12366114897760468,0.36514118792599803,0.3656280428432327,0.04771178188899708,12596787559.674267,12457820118.181818,23.256707662815735
2020,Prime,0.7107008941447938,0.7216613787135853,0.4978367464666859,0.23738102105566772,0.09027978079030863,0.5232189212575714,0.017017594462070955,46447279890.35294,46152198238.38384,24.561583740542215
2020,Subprime,0.9970059880239521,2.934131736526946,0.0014970059880239522,0.059880239520958084,0.8248502994011976,0.21706586826347304,0.10778443113772455,5100158827.175409,5064965238.888889,22.352537518775186
2020,Super-prime,0.9471605866867243,-0.057540428732606244,0.9133132756675442,0.6267393757051524,0.009778112072207596,0.48401654757427603,0.004136893569010906,188355421086.57928,187720440004.04037,25.9615965526537
2024,Deep subprime,1.0,3.0,0.0,0.0,1.0,0.4444444444444444,1.0,5118149340.80104,5117381783.897608,22.35605875378175
2024,Near-prime,0.8037430450177036,1.6474456246838645,0.09610520991401113,0.14162873039959534,0.35912999494183107,0.3292867981790592,0.06069802731411229,16850141277.677942,16811686290.90073,23.54762487814156
2024,Prime,0.663992594878124,0.48256710891700094,0.4554149953717988,0.2548596112311015,0.09935205183585313,0.466831224930577,0.02005553841406973,71397329342.39561,71283265250.27911,24.99152630142427
2024,Subprime,0.9973368841544608,2.922769640479361,0.0,0.06657789613848203,0.7976031957390146,0.18908122503328895,0.09720372836218376,6768039318.537529,6762367955.782158,22.635477268710044
2024,Super-prime,0.9399963853244171,-0.07464305078619193,0.9118019157780589,0.626061810952467,0.011024760527742636,0.4903307428158323,0.004156876920296404,379810490407.8475,379008163181.90533,26.66293825581689
