month,date,vol,vol_unadj,credit_score_group
125,2010-06,177620814.5926729,182336657.070707,Subprime
125,2010-06,2050317629.625915,2075810637.373738,Prime
125,2010-06,455935190.9871189,471013153.5353534,Near-prime
126,2010-07,12106332860.88459,12648494661.11111,Super-prime
126,2010-07,121743511.4161877,114569708.080808,Deep subprime
126,2010-07,2130093169.009927,2250083745.454546,Prime
126,2010-07,216787315.5633657,210732058.5858584,Subprime
126,2010-07,472028529.7577534,472106911.6161619,Near-prime
127,2010-08,112000033.8970915,122247189.3939394,Deep subprime
127,2010-08,12358013148.39432,12834164216.66667,Super-prime
127,2010-08,195033792.5174125,206584266.6666666,Subprime
127,2010-08,2180206593.148932,2305113277.777778,Prime
127,2010-08,482995984.8730837,522155265.1515151,Near-prime
128,2010-09,12224438550.99722,11870535723.73737,Super-prime
128,2010-09,128553900.7924946,131140148.989899,Deep subprime
128,2010-09,211886414.9220829,218966234.3434343,Subprime
128,2010-09,2201774688.702004,2160702908.080809,Prime
128,2010-09,517636994.5081033,545957966.1616164,Near-prime
129,2010-10,12905202097.99086,13446396065.65657,Super-prime
129,2010-10,136072224.784829,142068815.1515151,Deep subprime
129,2010-10,208331485.3574805,216871705.5555555,Subprime
129,2010-10,2284548290.023964,2382104000.505051,Prime
129,2010-10,512849682.3724234,551329856.5656568,Near-prime
130,2010-11,136848687.5317767,150008013.6363636,Deep subprime
130,2010-11,13784113886.49558,15051069402.0202,Super-prime
130,2010-11,220455127.1421061,252603118.6868685,Subprime
130,2010-11,2407878932.187251,2577652690.404041,Prime
130,2010-11,549868896.9113367,609608595.4545459,Near-prime
131,2010-12,140943998.3641796,153400943.4343433,Deep subprime
131,2010-12,14260531681.3175,14823783824.24242,Super-prime
131,2010-12,225268269.9929989,234537291.4141413,Subprime
131,2010-12,2554072666.438468,2517050758.080809,Prime
131,2010-12,572214237.668932,565919079.2929295,Near-prime
132,2011-01,13690479817.59604,12606456144.94949,Super-prime
132,2011-01,147902173.2972614,128579182.3232323,Deep subprime
132,2011-01,232584315.5104112,202107977.7777777,Subprime
132,2011-01,2421044055.218058,2177697609.09091,Prime
132,2011-01,581212658.0633657,494096947.4747474,Near-prime
133,2011-02,14237196308.99568,12572064865.15151,Super-prime
133,2011-02,147380025.8157824,127249868.6868687,Deep subprime
133,2011-02,239251792.7250744,203948327.7777777,Subprime
133,2011-02,2566950099.891054,2267838965.151515,Prime
133,2011-02,622214269.4698322,524139727.2727274,Near-prime
134,2011-03,14761983346.8723,14949420913.13132,Super-prime
134,2011-03,153405801.7654859,163592485.8585858,Deep subprime
134,2011-03,259033437.3322572,270142373.2323233,Subprime
134,2011-03,2804269335.755507,2778203541.919193,Prime
134,2011-03,672880886.877448,680686051.0101013,Near-prime
135,2011-04,13767314469.1007,13619828577.77778,Super-prime
135,2011-04,145001099.7527849,130945221.7171717,Deep subprime
135,2011-04,248401962.607057,231229428.7878787,Subprime
135,2011-04,2532365004.123696,2548632361.616162,Prime
135,2011-04,597860581.8246865,574269406.0606065,Near-prime
136,2011-05,141075867.458575,140576696.4646464,Deep subprime
136,2011-05,14609629302.69004,14662914183.83839,Super-prime
136,2011-05,239312958.5256118,239374863.6363636,Subprime
136,2011-05,2832763334.186386,2904106701.0101,Prime
136,2011-05,664602115.7553639,672441795.9595959,Near-prime
137,2011-06,14663916107.22877,14208038605.05051,Super-prime
137,2011-06,149174582.7850687,156589599.9999999,Deep subprime
137,2011-06,254983073.7116434,261897610.6060606,Subprime
137,2011-06,2720221344.188925,2728776357.070706,Prime
137,2011-06,644061816.3443164,663261036.8686869,Near-prime
138,2011-07,13841557459.60827,14346099267.67677,Super-prime
138,2011-07,144674622.1052254,136881667.1717171,Deep subprime
138,2011-07,247286795.8900253,238773826.7676767,Subprime
138,2011-07,2741412009.345029,2882667022.222221,Prime
138,2011-07,655871327.1501364,652179007.5757579,Near-prime
139,2011-08,152681379.9937675,163487857.070707,Deep subprime
139,2011-08,15454679549.97157,15923839826.26263,Super-prime
139,2011-08,258804355.5185302,271984822.7272726,Subprime
139,2011-08,3032384454.341593,3195390362.121212,Prime
139,2011-08,696435861.1358638,742734576.2626263,Near-prime
140,2011-09,147783637.5681991,149765052.5252524,Deep subprime
140,2011-09,16797186699.5306,16204708332.32323,Super-prime
140,2011-09,251560245.5010125,259564336.3636363,Subprime
140,2011-09,2959437643.937901,2900779609.090909,Prime
140,2011-09,678762525.508918,709207629.2929293,Near-prime
141,2011-10,137445844.5204177,140769005.5555556,Deep subprime
141,2011-10,15679694088.41099,16200808033.83839,Super-prime
141,2011-10,253600670.6451838,259409622.2222223,Subprime
141,2011-10,2876685056.368347,2976111391.919192,Prime
141,2011-10,683044209.2960606,723563368.1818182,Near-prime
142,2011-11,154751449.6522529,168178002.020202,Deep subprime
142,2011-11,15694077123.95222,17196116752.52525,Super-prime
142,2011-11,263055331.8540012,300180238.3838382,Subprime
142,2011-11,2912081873.328757,3122705543.434343,Prime
142,2011-11,692039960.073649,771086212.6262627,Near-prime
143,2011-12,135607803.8262588,147017647.9797979,Deep subprime
143,2011-12,15818630575.59589,16605707155.55555,Super-prime
143,2011-12,257302220.525466,271908394.949495,Subprime
143,2011-12,2768078516.603334,2754794687.878788,Prime
143,2011-12,684981283.733281,686723454.0404038,Near-prime
144,2012-01,14624685114.94238,13697406787.37374,Super-prime
144,2012-01,148942914.1330646,129075895.9595959,Deep subprime
144,2012-01,271326481.026616,235874023.7373736,Subprime
144,2012-01,2902688323.234311,2640181080.303031,Prime
144,2012-01,722457040.4642454,621718768.6868689,Near-prime
145,2012-02,15495604774.6435,13785920218.68686,Super-prime
145,2012-02,168109511.2081028,146968275.2525252,Deep subprime
145,2012-02,285074205.5710022,244555123.7373736,Subprime
145,2012-02,3020582735.283541,2664243890.909091,Prime
145,2012-02,767980056.5831438,653712888.3838384,Near-prime
146,2012-03,15135452692.44401,15392887078.28283,Super-prime
146,2012-03,156022841.7934462,169569926.2626262,Deep subprime
146,2012-03,295908475.0695665,312272801.5151515,Subprime
146,2012-03,3002207088.271144,2987545994.949495,Prime
146,2012-03,750812534.3094314,766021667.1717174,Near-prime
147,2012-04,14865224909.75083,14746865442.9293,Super-prime
147,2012-04,162592030.2906432,147066154.5454545,Deep subprime
147,2012-04,2888427629.677346,2910361146.969698,Prime
147,2012-04,294279051.9754581,273293643.9393939,Subprime
147,2012-04,745126527.1546847,715562565.151515,Near-prime
148,2012-05,14803153294.17719,14777157471.21212,Super-prime
148,2012-05,166114464.1722377,165915627.7777777,Deep subprime
148,2012-05,3036603363.910866,3101534010.101009,Prime
148,2012-05,318440904.7661947,318185488.3838385,Subprime
148,2012-05,794762735.0573484,802509949.4949492,Near-prime
149,2012-06,14768781889.99794,14198418963.13131,Super-prime
149,2012-06,168825063.0424287,181186435.8585857,Deep subprime
149,2012-06,3024868410.550686,3019393719.19192,Prime
149,2012-06,309816783.8547699,320256989.3939392,Subprime
149,2012-06,798375012.9983273,821231775.2525254,Near-prime
150,2012-07,14387871605.14388,14847809509.09091,Super-prime
150,2012-07,149040254.8895844,142607026.2626262,Deep subprime
150,2012-07,2988952879.193971,3145114679.797979,Prime
150,2012-07,314157353.9079409,302907948.989899,Subprime
150,2012-07,778814797.9107958,776311148.4848486,Near-prime
151,2012-08,14568868265.20866,14934023724.74747,Super-prime
151,2012-08,154924964.3603753,163663580.3030303,Deep subprime
151,2012-08,3116328179.562706,3267095152.020204,Prime
151,2012-08,319302740.1939293,333622271.7171717,Subprime
151,2012-08,788072561.5735915,831623014.1414145,Near-prime
152,2012-09,147654658.5725892,148593662.6262625,Deep subprime
152,2012-09,14931188901.61385,14371819514.64646,Super-prime
152,2012-09,291360004.8482711,300788849.4949493,Subprime
152,2012-09,3047107831.266476,2988387191.919191,Prime
152,2012-09,739372340.4520614,763665457.5757579,Near-prime
153,2012-10,15058440368.12825,15488321816.66667,Super-prime
153,2012-10,151202520.3225723,150970419.6969697,Deep subprime
153,2012-10,278877356.6958957,281380339.8989898,Subprime
153,2012-10,3478946858.920588,3583039194.949493,Prime
153,2012-10,815786529.4697396,851827057.575758,Near-prime
154,2012-11,15006106459.92941,16405302791.41414,Super-prime
154,2012-11,160863584.0821968,172451189.3939393,Deep subprime
154,2012-11,315882918.5816298,356509961.1111114,Subprime
154,2012-11,3251781345.14758,3475134871.717171,Prime
154,2012-11,841347682.6187509,936393481.3131322,Near-prime
155,2012-12,15234899133.0064,16040325735.85859,Super-prime
155,2012-12,161688101.6222387,173692282.3232322,Deep subprime
155,2012-12,310132979.8097005,331996378.2828284,Subprime
155,2012-12,3220287364.346355,3217258615.151514,Prime
155,2012-12,818620310.9413501,831082970.7070708,Near-prime
156,2013-01,159115458.054407,136651645.4545453,Deep subprime
156,2013-01,16110381428.90967,15295858201.51517,Super-prime
156,2013-01,334122104.2674558,289031611.6161616,Subprime
156,2013-01,3408237629.465101,3134882680.30303,Prime
156,2013-01,866478005.140168,752131401.5151513,Near-prime
157,2013-02,157106153.649042,140043599.4949495,Deep subprime
157,2013-02,16031280162.98961,14315489275.75758,Super-prime
157,2013-02,323763199.0503327,278817026.7676768,Subprime
157,2013-02,3310400333.118024,2918534716.161617,Prime
157,2013-02,856816761.5959905,735211380.8080808,Near-prime
158,2013-03,158661581.2798923,175166793.9393939,Deep subprime
158,2013-03,15960539213.63215,16171877086.36364,Super-prime
158,2013-03,298213787.9799247,317776026.2626263,Subprime
158,2013-03,3300278314.04218,3291380629.797981,Prime
158,2013-03,852843569.8742235,874555981.3131313,Near-prime
159,2013-04,15872986332.13644,15755137675.25253,Super-prime
159,2013-04,161944919.6152191,147102412.6262626,Deep subprime
159,2013-04,309725818.5444386,286269692.9292929,Subprime
159,2013-04,3420669392.689956,3437786090.404043,Prime
159,2013-04,860086833.7615503,825905380.808081,Near-prime
160,2013-05,15362824922.84646,15306511019.69696,Super-prime
160,2013-05,158370528.2277776,160608246.4646464,Deep subprime
160,2013-05,321660523.3114079,321829391.4141416,Subprime
160,2013-05,3365408066.000755,3427297459.595961,Prime
160,2013-05,835741685.0600702,843636806.0606062,Near-prime
161,2013-06,15690811634.32162,15175784066.66667,Super-prime
161,2013-06,162141709.4522659,177218722.7272727,Deep subprime
161,2013-06,318080644.1225759,333334668.1818182,Subprime
161,2013-06,3497758040.811915,3502201583.838382,Prime
161,2013-06,866407545.5880018,895084472.2222226,Near-prime
162,2013-07,15893730569.19424,16460676255.0505,Super-prime
162,2013-07,173540363.1197868,167224946.4646463,Deep subprime
162,2013-07,321389374.0843682,310550127.2727275,Subprime
162,2013-07,3700020998.360657,3920956124.242425,Prime
162,2013-07,926894052.0132896,935132041.4141413,Near-prime
163,2013-08,166592916.2074608,173395430.8080807,Deep subprime
163,2013-08,16889166896.49869,17260202817.67677,Super-prime
163,2013-08,342574185.2585565,356996176.7676769,Subprime
163,2013-08,3753585148.848197,3914212588.888886,Prime
163,2013-08,987143150.5773243,1030275032.323232,Near-prime
164,2013-09,1054300071.486324,1078411785.858586,Near-prime
164,2013-09,17276914564.63695,16657239740.40404,Super-prime
164,2013-09,210332854.9626056,209851793.9393938,Deep subprime
164,2013-09,4039120158.1558,3950771505.050503,Prime
164,2013-09,406842067.4401068,420095908.0808083,Subprime
165,2013-10,1102573486.722984,1134535230.80808,Near-prime
165,2013-10,17483614591.03686,17890316854.54546,Super-prime
165,2013-10,202685145.0155978,197987517.6767677,Deep subprime
165,2013-10,4000243036.257929,4112179566.666667,Prime
165,2013-10,418247143.7600213,417020256.0606062,Subprime
166,2013-11,1138696701.712071,1256847256.060606,Near-prime
166,2013-11,18184974197.80338,19725287032.32323,Super-prime
166,2013-11,193578602.1349325,204199980.3030302,Deep subprime
166,2013-11,4001616266.875997,4244500100,Prime
166,2013-11,413292002.6712666,458403880.8080807,Subprime
167,2013-12,1198276267.336231,1229095774.747475,Near-prime
167,2013-12,19423988974.2131,20251660912.62626,Super-prime
167,2013-12,205447606.6459434,220214405.5555556,Deep subprime
167,2013-12,4286914326.585301,4275040602.52525,Prime
167,2013-12,441856894.3184649,477585267.6767679,Subprime
168,2014-01,1217756568.411949,1059564523.737374,Near-prime
168,2014-01,18653610117.01129,17953778806.56566,Super-prime
168,2014-01,215435066.9300497,182780405.0505049,Deep subprime
168,2014-01,421164811.0597318,361873168.6868688,Subprime
168,2014-01,4263282140.513048,3965499307.575756,Prime
169,2014-02,1196946353.450358,1030273277.777778,Near-prime
169,2014-02,18454736377.98026,16472000473.73737,Super-prime
169,2014-02,231367796.3756698,209032274.7474747,Deep subprime
169,2014-02,4263795675.073329,3750167119.191918,Prime
169,2014-02,459044539.7238278,395150067.1717172,Subprime
170,2014-03,1236184162.587887,1275944622.222222,Near-prime
170,2014-03,17926581709.17799,18135176429.79798,Super-prime
170,2014-03,234609251.2875351,262700460.6060606,Deep subprime
